Single capacitor:
60  (x1)
Up to 10 capacitors:
6  (x10)
20/3 = 6.66667  (x9)
120/17 = 7.05882  (x10)
15/2 = 7.5  (x8)
180/23 = 7.82609  (x10)
8  (x9)
90/11 = 8.18182  (x10)
60/7 = 8.57143  (x7)
60/7 = 8.57143  (x10)
80/9 = 8.88889  (x10)
9  (x9)
100/11 = 9.09091  (x10)
120/13 = 9.23077  (x8)
75/8 = 9.375  (x10)
180/19 = 9.47368  (x9)
48/5 = 9.6  (x10)
300/31 = 9.67742  (x10)
360/37 = 9.72973  (x10)
10  (x6)
10  (x9)
420/41 = 10.2439  (x10)
72/7 = 10.2857  (x10)
300/29 = 10.3448  (x10)
240/23 = 10.4348  (x9)
21/2 = 10.5  (x10)
180/17 = 10.5882  (x8)
32/3 = 10.6667  (x10)
75/7 = 10.7143  (x9)
140/13 = 10.7692  (x10)
120/11 = 10.9091  (x7)
120/11 = 10.9091  (x10)
210/19 = 11.0526  (x10)
100/9 = 11.1111  (x9)
480/43 = 11.1628  (x10)
45/4 = 11.25  (x8)
45/4 = 11.25  (x10)
420/37 = 11.3514  (x10)
80/7 = 11.4286  (x9)
80/7 = 11.4286  (x10)
150/13 = 11.5385  (x9)
150/13 = 11.5385  (x10)
360/31 = 11.6129  (x9)
270/23 = 11.7391  (x10)
200/17 = 11.7647  (x10)
12  (x5)
12  (x8)
12  (x10)
110/9 = 12.2222  (x10)
600/49 = 12.2449  (x10)
210/17 = 12.3529  (x9)
360/29 = 12.4138  (x9)
360/29 = 12.4138  (x10)
25/2 = 12.5  (x9)
25/2 = 12.5  (x10)
540/43 = 12.5581  (x10)
240/19 = 12.6316  (x8)
240/19 = 12.6316  (x10)
165/13 = 12.6923  (x10)
140/11 = 12.7273  (x9)
140/11 = 12.7273  (x10)
600/47 = 12.766  (x10)
90/7 = 12.8571  (x7)
90/7 = 12.8571  (x10)
220/17 = 12.9412  (x10)
480/37 = 12.973  (x9)
13  (x10)
300/23 = 13.0435  (x8)
144/11 = 13.0909  (x10)
105/8 = 13.125  (x9)
540/41 = 13.1707  (x10)
66/5 = 13.2  (x10)
780/59 = 13.2203  (x10)
40/3 = 13.3333  (x6)
40/3 = 13.3333  (x9)
390/29 = 13.4483  (x10)
660/49 = 13.4694  (x10)
27/2 = 13.5  (x10)
420/31 = 13.5484  (x9)
420/31 = 13.5484  (x10)
720/53 = 13.5849  (x10)
150/11 = 13.6364  (x8)
260/19 = 13.6842  (x10)
96/7 = 13.7143  (x9)
55/4 = 13.75  (x10)
840/61 = 13.7705  (x10)
180/13 = 13.8462  (x7)
180/13 = 13.8462  (x9)
180/13 = 13.8462  (x10)
600/43 = 13.9535  (x10)
14  (x9)
660/47 = 14.0426  (x10)
225/16 = 14.0625  (x10)
240/17 = 14.1176  (x8)
240/17 = 14.1176  (x9)
270/19 = 14.2105  (x10)
840/59 = 14.2373  (x10)
100/7 = 14.2857  (x8)
100/7 = 14.2857  (x9)
72/5 = 14.4  (x8)
72/5 = 14.4  (x10)
420/29 = 14.4828  (x10)
160/11 = 14.5455  (x10)
540/37 = 14.5946  (x9)
600/41 = 14.6341  (x9)
44/3 = 14.6667  (x10)
720/49 = 14.6939  (x10)
780/53 = 14.717  (x10)
280/19 = 14.7368  (x10)
900/61 = 14.7541  (x10)
15  (x4)
15  (x7)
15  (x9)
15  (x10)
320/21 = 15.2381  (x10)
900/59 = 15.2542  (x10)
168/11 = 15.2727  (x10)
260/17 = 15.2941  (x10)
720/47 = 15.3191  (x10)
660/43 = 15.3488  (x9)
200/13 = 15.3846  (x9)
108/7 = 15.4286  (x10)
480/31 = 15.4839  (x10)
450/29 = 15.5172  (x10)
140/9 = 15.5556  (x8)
140/9 = 15.5556  (x10)
360/23 = 15.6522  (x8)
360/23 = 15.6522  (x9)
360/23 = 15.6522  (x10)
204/13 = 15.6923  (x10)
110/7 = 15.7143  (x10)
300/19 = 15.7895  (x8)
300/19 = 15.7895  (x9)
95/6 = 15.8333  (x10)
840/53 = 15.8491  (x10)
270/17 = 15.8824  (x9)
780/49 = 15.9184  (x10)
16  (x7)
16  (x9)
16  (x10)
1140/71 = 16.0563  (x10)
225/14 = 16.0714  (x10)
660/41 = 16.0976  (x9)
1080/67 = 16.1194  (x10)
210/13 = 16.1538  (x8)
210/13 = 16.1538  (x9)
340/21 = 16.1905  (x10)
600/37 = 16.2162  (x9)
600/37 = 16.2162  (x10)
65/4 = 16.25  (x10)
960/59 = 16.2712  (x10)
114/7 = 16.2857  (x10)
180/11 = 16.3636  (x6)
180/11 = 16.3636  (x9)
1200/73 = 16.4384  (x10)
510/31 = 16.4516  (x10)
280/17 = 16.4706  (x10)
33/2 = 16.5  (x9)
380/23 = 16.5217  (x10)
480/29 = 16.5517  (x8)
315/19 = 16.5789  (x10)
780/47 = 16.5957  (x9)
780/47 = 16.5957  (x10)
216/13 = 16.6154  (x10)
50/3 = 16.6667  (x7)
50/3 = 16.6667  (x10)
1020/61 = 16.7213  (x10)
720/43 = 16.7442  (x9)
720/43 = 16.7442  (x10)
285/17 = 16.7647  (x10)
84/5 = 16.8  (x8)
84/5 = 16.8  (x10)
320/19 = 16.8421  (x10)
135/8 = 16.875  (x9)
135/8 = 16.875  (x10)
220/13 = 16.9231  (x9)
220/13 = 16.9231  (x10)
390/23 = 16.9565  (x9)
390/23 = 16.9565  (x10)
900/53 = 16.9811  (x10)
1140/67 = 17.0149  (x10)
630/37 = 17.027  (x10)
120/7 = 17.1429  (x5)
120/7 = 17.1429  (x8)
120/7 = 17.1429  (x10)
1260/73 = 17.2603  (x10)
190/11 = 17.2727  (x10)
225/13 = 17.3077  (x10)
52/3 = 17.3333  (x9)
330/19 = 17.3684  (x9)
330/19 = 17.3684  (x10)
540/31 = 17.4194  (x9)
540/31 = 17.4194  (x10)
192/11 = 17.4545  (x10)
35/2 = 17.5  (x8)
35/2 = 17.5  (x9)
35/2 = 17.5  (x10)
228/13 = 17.5385  (x10)
720/41 = 17.561  (x9)
510/29 = 17.5862  (x10)
88/5 = 17.6  (x10)
300/17 = 17.6471  (x7)
300/17 = 17.6471  (x10)
1080/61 = 17.7049  (x10)
195/11 = 17.7273  (x9)
195/11 = 17.7273  (x10)
1260/71 = 17.7465  (x10)
160/9 = 17.7778  (x8)
285/16 = 17.8125  (x10)
660/37 = 17.8378  (x9)
840/47 = 17.8723  (x9)
840/47 = 17.8723  (x10)
340/19 = 17.8947  (x10)
1200/67 = 17.9104  (x10)
18  (x6)
18  (x8)
18  (x9)
18  (x10)
380/21 = 18.0952  (x10)
960/53 = 18.1132  (x10)
780/43 = 18.1395  (x10)
200/11 = 18.1818  (x9)
200/11 = 18.1818  (x10)
255/14 = 18.2143  (x10)
1440/79 = 18.2278  (x10)
420/23 = 18.2609  (x8)
1080/59 = 18.3051  (x10)
55/3 = 18.3333  (x9)
900/49 = 18.3673  (x9)
900/49 = 18.3673  (x10)
240/13 = 18.4615  (x7)
240/13 = 18.4615  (x8)
240/13 = 18.4615  (x10)
315/17 = 18.5294  (x10)
